,star_score,reple,date
44,1,제발 할머니역은 진짜 할머니 좀 써라.관객들 우롱하는것도 아니고 어색한할머니 분장으로 진짜 욕나올뻔했고 아역배우 극암유발 연기와 소희 로보트연기에 진짜 자리에 앉아있기도 싫더라.,2016-07-22 04:42:00
45,1,마동석 없었으면 망했을 영화다..그리고 아역 남자인지 여자인지 애매한 캐릭터 써서 영화내내 집중 안되더라..왜 남자같이 생긴 여자애를 썼는지 원..소희는 연기가 참 어색해서 손발이 오글오글..,2016-07-20 05:51:00
46,1,이게 월드워z보다 평론가평점이 높네?,2016-07-20 10:40:00
47,6,소희 연기에 깜짝놀랐고 공유 울음에 칸을 의심했다 억지 감동을 주려하고 사람들의 감정 묘사도 그렇게 잘 된 것 같지않음 ...마동석이 주연인줄,2016-07-20 10:44:00
48,1,기대하고봤는데 재미하나도 없어요 아역배우랑 안소희씨 너무 안어울리고 영화에 너무 뜬금없는 감성팔이가 많아요,2016-07-20 09:46:00
49,1,"할머니 분장 어설퍼ㅡㅡ 아역,  소희 연기력에 이게 영화인지 예능인지...이 영화에 마동석, 정유미가 아깝다",2016-07-21 17:52:00
50,9,좀비가 나오는 재난영화의 완성도가 이 정도까지라는 점이 굉장히 놀랍다. 재미있게 잘 봤다.,2016-07-20 12:05:00
51,6,후반부가 허무했어요.,2016-07-20 13:00:00
52,6,"좀비 분장은 훌륭했다. 그러나 이것이 그나마 칭찬할 수 있는 부분. 좀비물에서 가장 중요한 좀비들의 일관성이 부족. 긴장감과 유머, 공포, 감동 모든 것을 넣어보려했으나 연출과 시나리오의 한계로 오히려 주의가 산만해진 코리안 좀비의 한계를 보인 영화 ",2016-07-20 08:21:00
53,8,신파는 좀 뺐으면 합니다..,2016-07-20 13:21:00
54,3,신파가 영화를 망쳤다. 공유의 분유광고는 덤.,2016-07-20 23:53:00
55,1,소희야연기는하지말자..ㅎㅎ,2016-07-20 16:39:00
56,1,박평식 돈먹은거아니야? 다크나이트로 욕쳐먹더니 이제 아주 정신줄을 놨구나  이게어째서 7점짜리영화냐  안소희  넌 두번다시는  영화하지말았으면 한다,2016-07-20 10:27:00
57,6,이건뭐~미처가지고 조기개봉은 왜해가지고 온사방 스포질이냐~~,2016-07-20 09:26:00
58,7,좀비가 한국에 오면 ㅈ되는거야 아주 ㅈ되는거지,2016-07-20 11:26:00
59,1,'감기' '연가시' '해운대' 와  내용과 결말이 똑같다.,2016-07-20 12:04:00
60,1,"뻔한 전개에 뻔한 스토리, 그리고 그놈의 억지 감성팔이...이런 식의 영화만 계속 나오면 대한민국 영화는 발전이 없다",2016-07-20 09:37:00
61,5,생존자발생!! 엔딩크레딧 이건뭐죠?,2016-07-20 10:37:00
62,6,"후반부  에  억지스러움 이  있었음  ,,",2016-07-20 11:28:00
63,1,스토리전개가 너무 엉망이다 참고하고 보세요,2016-07-20 08:09:00
64,1,정말 아무것도 없고 텅텅 빈 영화. 근거없는 감염에 부산으로 튀엇! 이게 스토리 끝. 그 속에 넣은 부자연스러운 가족애. 조조로 봤지만 돈아까운 영화.,2016-07-20 14:31:00
65,1,[월드워Z]의 좀비와 발암선동질 [미스트]를 섞어논 짬뽕작.한국의 좀비라는 신선한?시도는 했지만 영화내용중 꼬마의 오지랖과 위기상황마다 멀뚱멀뚱  쳐다보는 장면이 1~2번 나오는것도 아닌 매순간마다  나옴. 이게 재밌다면 휴..할말이 없다. ,2016-07-21 10:10:00
66,1,진짜 마동석말고는 하....스토리라는게 없고 허구한날 눈물찔찔하려고 만든영화,2016-07-21 01:36:00
67,1,"관람객입니다. 태어나서 이런 후기 처음써보는데 정말 애국심,팬심 다버리고 적날하게씀. 아역,아역이부르는노래,스토리,전개,안소희 &lt;- 진짜 다음날 눈떴는데도 미치게만듬...좀비왜생긴지,해결은어떻게된건지,아역이부르는노래는트로트임그거? 안소희연기... ",2016-07-21 09:57:00
68,1,왜 칸느에서 기립박수를쳤는지 전혀이해가 가지않는다,2016-07-20 12:52:00
69,1,마동석 없으면 망할 영화... 영화을 제대로 만들고 스포 신고하던가해라 배우들 연기에 할밀이 없다,2016-07-20 12:59:00
70,7,할머니자매 개그프로그램에 나오는 할머니분장한 사람같더라..,2016-07-20 23:39:00
71,1,그닥... 군바리들 불쌍해 ㅜ 군대가서 감염 당했는데 거따가 마동석을 뿌려?,2016-07-20 22:28:00
72,1,후반부부터 우리나라 영화 전통의 질질짜는 감성팔이 + 뻔한 사회풍자 + 생각보다 작은 스케일 +외국영화 표절 + 김치드라마에다가 좀비물 어색하게 합쳐논 느낌 + 노잼 =평점 1점,2016-07-20 11:13:00
73,1,그냥 신파를  빼면  안되나?   흥행할려구  전작과 다르게 너무  애쓴다,2016-07-20 03:28:00
74,1,다들 알바인가요. 세상에 아주 재미없습니다. 진짜 나가려다 참았다. 마동석하드캐리영화.,2016-07-20 10:00:00
75,1,"그냥  흥행요소를 집어넣어서 , 장르영화의 특성을 말아먹었네... 신파, 뜨는 배우, 꼼수의 끝판왕 변칙개봉",2016-07-20 03:31:00
